Date;Year;Open;High;Low;Close;Adj Close;Volume;Daily Stock Return Direction;Daily Stock Return (%);Daily Trading Volume Change (%);Price Anomaly Category;Volume Anomaly Category;Strong Anomaly
06/03/2019;2019;1,050.00;1,065.00;1,040.00;1,045.00;844.32;87,855,200;+;0.9662;-30.5047;Normal;Normal;No
07/03/2019;2019;1,045.00;1,045.00;1,045.00;1,045.00;844.32;;0;0;-100;Normal;Sharp Volume Decrease;No
08/03/2019;2019;1,010.00;1,015.00;990;990;799.88;137,044,900;-;-5.2632;#DIV/0!;Sharp Price Decrease;Normal;No
11/03/2019;2019;1,010.00;1,025.00;990;995;803.92;133,205,500;+;0.5051;-2.8016;Normal;Normal;No
12/03/2019;2019;1,010.00;1,015.00;955;970;783.72;144,227,600;-;-2.5126;8.2745;Normal;Normal;No
13/03/2019;2019;975;990;960;965;779.68;98,820,400;-;-0.5155;-31.483;Normal;Normal;No
14/03/2019;2019;975;975;960;965;779.68;65,563,000;0;0;-33.6544;Normal;Normal;No
15/03/2019;2019;965;990;950;975;787.76;72,567,000;+;1.0363;10.6829;Normal;Normal;No
18/03/2019;2019;980;985;945;955;771.6;95,086,600;-;-2.0513;31.0328;Normal;Normal;No
19/03/2019;2019;960;975;955;960;775.64;69,781,500;+;0.5236;-26.6127;Normal;Normal;No
20/03/2019;2019;960;980;960;960;775.64;55,325,000;0;0;-20.7168;Normal;Normal;No
21/03/2019;2019;970;980;960;965;779.68;42,876,300;+;0.5208;-22.501;Normal;Normal;No
22/03/2019;2019;960;965;950;960;775.64;38,781,500;-;-0.5181;-9.5503;Normal;Normal;No
25/03/2019;2019;940;945;910;920;743.33;105,587,900;-;-4.1667;172.2636;Normal;Sharp Volume Increase;No
26/03/2019;2019;925;940;910;915;739.29;63,741,400;-;-0.5435;-39.6319;Normal;Normal;No
27/03/2019;2019;925;925;890;900;727.17;59,113,200;-;-1.6393;-7.2609;Normal;Normal;No
28/03/2019;2019;895;915;870;880;711.01;101,873,800;-;-2.2222;72.3368;Normal;Normal;No
29/03/2019;2019;880;895;870;885;715.05;73,446,700;+;0.5682;-27.9042;Normal;Normal;No
01/04/2019;2019;900;945;900;940;759.49;132,618,300;+;6.2147;80.564;Sharp Price Increase;Normal;No
02/04/2019;2019;940;950;920;920;743.33;102,133,500;-;-2.1277;-22.9869;Normal;Normal;No
03/04/2019;2019;920;920;920;920;743.33;;0;0;-100;Normal;Sharp Volume Decrease;No
04/04/2019;2019;935;945;910;915;739.29;49,497,700;-;-0.5435;#DIV/0!;Normal;Normal;No
05/04/2019;2019;910;925;900;905;731.21;33,851,900;-;-1.0929;-31.6091;Normal;Normal;No
08/04/2019;2019;905;910;880;885;715.05;70,696,700;-;-2.2099;108.8412;Normal;Normal;No
09/04/2019;2019;885;915;885;900;727.17;53,409,600;+;1.6949;-24.4525;Normal;Normal;No
10/04/2019;2019;900;910;890;895;723.13;45,347,600;-;-0.5556;-15.0947;Normal;Normal;No
11/04/2019;2019;900;905;890;895;723.13;36,952,500;0;0;-18.5128;Normal;Normal;No
12/04/2019;2019;885;890;875;880;711.01;45,356,300;-;-1.676;22.7422;Normal;Normal;No
15/04/2019;2019;880;890;880;885;715.05;30,757,400;+;0.5682;-32.1871;Normal;Normal;No
16/04/2019;2019;880;900;880;895;723.13;27,035,500;+;1.1299;-12.1008;Normal;Normal;No
17/04/2019;2019;895;895;895;895;723.13;;0;0;-100;Normal;Sharp Volume Decrease;No
18/04/2019;2019;905;910;885;885;715.05;41,688,500;-;-1.1173;#DIV/0!;Normal;Normal;No
19/04/2019;2019;885;885;885;885;715.05;;0;0;-100;Normal;Sharp Volume Decrease;No
22/04/2019;2019;880;890;850;855;690.81;75,543,000;-;-3.3898;#DIV/0!;Normal;Normal;No
23/04/2019;2019;860;890;855;890;719.09;54,820,700;+;4.0936;-27.4311;Normal;Normal;No
24/04/2019;2019;890;890;875;880;711.01;28,625,000;-;-1.1236;-47.7843;Normal;Normal;No
25/04/2019;2019;880;885;865;870;702.93;28,515,800;-;-1.1364;-0.3815;Normal;Normal;No
26/04/2019;2019;865;880;865;875;706.97;33,910,900;+;0.5747;18.9197;Normal;Normal;No
29/04/2019;2019;875;885;870;875;706.97;26,437,700;0;0;-22.0378;Normal;Normal;No
30/04/2019;2019;875;880;855;865;698.89;47,939,900;-;-1.1429;81.3316;Normal;Normal;No
01/05/2019;2019;865;865;865;865;698.89;;0;0;-100;Normal;Sharp Volume Decrease;No
02/05/2019;2019;865;870;815;820;662.53;105,857,000;-;-5.2023;#DIV/0!;Sharp Price Decrease;Normal;No
03/05/2019;2019;820;825;785;790;638.29;95,259,500;-;-3.6585;-10.0111;Normal;Normal;No
06/05/2019;2019;780;780;745;760;624.12;83,337,600;-;-3.7975;-12.5152;Normal;Normal;No
07/05/2019;2019;765;780;765;765;628.22;37,394,800;+;0.6579;-55.1285;Normal;Normal;No
08/05/2019;2019;755;770;750;765;628.22;38,541,800;0;0;3.0673;Normal;Normal;No
09/05/2019;2019;765;770;730;730;599.48;55,956,100;-;-4.5752;45.1829;Sharp Price Decrease;Normal;No
10/05/2019;2019;740;750;720;745;611.8;57,424,000;+;2.0548;2.6233;Normal;Normal;No
13/05/2019;2019;745;750;725;730;599.48;45,550,200;-;-2.0134;-20.6774;Normal;Normal;No
14/05/2019;2019;720;720;700;710;583.06;66,670,300;-;-2.7397;46.3666;Normal;Normal;No
15/05/2019;2019;720;735;695;700;574.84;100,102,600;-;-1.4085;50.1457;Normal;Normal;No
16/05/2019;2019;700;715;680;685;562.53;52,975,400;-;-2.1429;-47.0789;Normal;Normal;No
17/05/2019;2019;690;695;670;670;550.21;36,307,200;-;-2.1898;-31.464;Normal;Normal;No
20/05/2019;2019;675;690;660;685;562.53;49,978,300;+;2.2388;37.654;Normal;Normal;No
21/05/2019;2019;690;725;690;710;583.06;65,902,900;+;3.6496;31.863;Normal;Normal;No
22/05/2019;2019;700;725;700;710;583.06;49,193,900;0;0;-25.354;Normal;Normal;No
23/05/2019;2019;710;740;710;740;607.69;62,518,900;+;4.2254;27.0867;Normal;Normal;No
24/05/2019;2019;740;755;720;730;599.48;84,783,700;-;-1.3514;35.6129;Normal;Normal;No
27/05/2019;2019;740;760;735;740;607.69;75,187,700;+;1.3699;-11.3182;Normal;Normal;No
28/05/2019;2019;750;750;720;720;591.27;56,803,700;-;-2.7027;-24.4508;Normal;Normal;No
29/05/2019;2019;710;725;705;715;587.16;38,469,900;-;-0.6944;-32.2757;Normal;Normal;No
30/05/2019;2019;715;715;715;715;587.16;;0;0;-100;Normal;Sharp Volume Decrease;No
31/05/2019;2019;715;730;715;725;595.37;33,515,000;+;1.3986;#DIV/0!;Normal;Normal;No
03/06/2019;2019;725;725;725;725;595.37;;0;0;-100;Normal;Sharp Volume Decrease;No
04/06/2019;2019;725;725;725;725;595.37;;0;0;#DIV/0!;Normal;Normal;No
05/06/2019;2019;725;725;725;725;595.37;;0;0;#DIV/0!;Normal;Normal;No
06/06/2019;2019;725;725;725;725;595.37;;0;0;#DIV/0!;Normal;Normal;No
07/06/2019;2019;725;725;725;725;595.37;;0;0;#DIV/0!;Normal;Normal;No
